date,traffic_count,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),day_of_week,is_weekend,temp_range,temp_range_cat,season,traffic_status
2024-01-19,71.0,2024,1,19,-6.7,-15.2,-11.0,0.0,0.0,0.0,6,0,8.5,Medium,Winter,0
2024-01-20,78.0,2024,1,20,-7.7,-15.4,-11.6,0.0,0.0,0.0,7,1,7.7,Medium,Winter,0
2024-01-21,66.0,2024,1,21,-2.1,-11.4,-6.8,0.0,0.0,0.0,1,1,9.3,Medium,Winter,0
2024-01-22,65.0,2024,1,22,-1.0,-7.8,-4.4,0.0,0.6,0.6,2,0,6.8,Medium,Winter,0
2024-01-23,44.0,2024,1,23,1.6,-1.2,0.2,2.4,4.8,7.2,3,0,2.8,Low,Winter,0
2024-01-24,22.0,2024,1,24,1.6,0.5,1.1,8.2,0.0,8.2,4,0,1.1,Low,Winter,0
2024-01-25,49.0,2024,1,25,3.5,1.1,2.3,0.2,0.0,0.2,5,0,2.4,Low,Winter,0
2024-01-26,22.0,2024,1,26,4.0,1.4,2.7,21.8,0.0,21.8,6,0,2.6,Low,Winter,0
2024-01-27,14.0,2024,1,27,3.5,0.5,2.0,0.0,0.0,0.0,7,1,3.0,Low,Winter,0
2024-01-28,30.0,2024,1,28,2.9,0.6,1.8,0.0,0.0,0.0,1,1,2.3,Low,Winter,0
2024-01-29,47.0,2024,1,29,3.9,-1.9,1.0,0.0,0.0,0.0,2,0,5.8,Medium,Winter,0
2024-01-30,63.0,2024,1,30,2.0,-0.3,0.9,0.0,0.0,0.0,3,0,2.3,Low,Winter,0
2024-01-31,80.0,2024,1,31,5.7,0.9,3.3,0.0,0.0,0.0,4,0,4.8,Low,Winter,0
2024-02-01,157.0,2024,2,1,4.3,2.3,3.3,,,0.0,5,0,2.0,Low,Winter,0
2024-02-02,105.0,2024,2,2,3.8,-3.6,0.1,0.0,0.0,0.0,6,0,7.4,Medium,Winter,0
2024-02-03,88.0,2024,2,3,3.6,-5.3,-0.9,0.0,0.0,0.0,7,1,8.9,Medium,Winter,0
